id,period,duration,depth,steff,srad,slogg,model_snr,ra,dec,disposition,source
1015.01,1.3730466,2.5708515,1301.5065338,4897.0,6.7996101,,1912.3318636,122.895964,-27.971896,FALSE POSITIVE,tess
10152836,220.9290121,7.335,2456.5,5893.0,0.941,4.483,70.4,296.03668,47.180119,FALSE POSITIVE,kepler
10153011,83.09708021,9.2639,15860.0,5286.0,0.636,4.627,277.2,296.0882,47.142891,CANDIDATE,kepler
10153827,0.293630085,2.3857,2017.7,5665.0,0.843,4.554,170.0,296.33435,47.14558,FALSE POSITIVE,kepler
10153855,1.06378861,1.072,251.5,5265.0,1.002,4.4,21.5,296.34103,47.17086,CONFIRMED,kepler
10154388,12.06222962,2.0584,300.2,5547.0,0.933,4.451,32.4,296.49612,47.182861,CONFIRMED,kepler
10155029,2.131660527,1.8585,32.2,5849.0,0.997,4.426,15.7,296.67984,47.173313,CANDIDATE,kepler
10155080,1.930451347,3.87956,53075.0,6154.0,1.168,4.399,602.3,296.69858,47.137741,FALSE POSITIVE,kepler
10155286,333.486169,3.199,639.1,4989.0,7.824,2.992,14.0,296.76288,47.145142,CANDIDATE,kepler
10155321,0.71059239,4.92,280.6,7454.0,1.853,4.107,22.8,296.77271,47.158539,FALSE POSITIVE,kepler
10155321,15.705388,4.871,283.7,7454.0,1.853,4.107,10.6,296.77271,47.158539,FALSE POSITIVE,kepler
10155434,12.70636123,2.395,871.7,5573.0,0.839,4.562,54.0,296.80865,47.17194,CONFIRMED,kepler
10156055,2.42803503,3.045,73.8,6609.0,0.974,4.484,8.8,296.99017,47.130661,FALSE POSITIVE,kepler
10156064,2.427967843,4.7847,126980.0,7652.0,1.921,4.104,472.8,296.99341,47.146648,FALSE POSITIVE,kepler
10156110,4.85603482,3.078,76.7,6469.0,1.193,4.385,8.2,297.00977,47.121021,FALSE POSITIVE,kepler
10157458,4.57797412,2.862,125.4,5795.0,0.848,4.554,9.6,297.39319,47.164631,CANDIDATE,kepler
10157458,7.33685101,3.548,325.8,5795.0,0.848,4.554,21.6,297.39319,47.164631,CONFIRMED,kepler
10157573,5.115750935,2.5378,1055.8,6398.0,1.101,4.411,51.8,297.43201,47.128551,FALSE POSITIVE,kepler
10158418,5.007414194,1.3584,4413.9,5957.0,1.042,4.417,196.6,297.64606,47.167488,CANDIDATE,kepler
10158715,61.0011095,1.049,408.0,6418.0,1.171,4.395,4.6,297.72064,47.134892,FALSE POSITIVE,kepler
10158729,58.601926,5.522,396.4,6250.0,1.019,4.44,19.1,297.72314,47.112659,CONFIRMED,kepler
10158990,1.096583368,2.1188,308.5,5222.0,0.763,4.528,44.3,297.78802,47.10107,FALSE POSITIVE,kepler
